Código comarca,COMARCA,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,
1100,AÑANA,9.78,9.86,7.84,4.62,5.31,5.49,5.68,5.68,6.67,6.69,7.43,8.20,30.75,40.88,57.89,64.43,87.15,69.99,
1200,LLANADA ALAVESA,17.86,15.24,13.05,9.30,7.77,6.49,5.89,8.46,16.01,23.46,36.16,48.85,65.68,73.13,73.17,74.48,74.90,53.26,
1300,MONTAÑA ALAVESA,8.60,8.08,10.50,7.65,7.66,5.97,5.58,3.24,5.11,9.79,20.66,28.17,35.80,51.67,56.93,49.52,52.61,48.35,
48100,ARRATIA-NERVIÓN,4.90,2.67,3.64,3.15,2.94,2.99,3.33,2.02,5.19,16.92,19.16,22.64,28.08,34.03,36.86,38.64,42.85,36.66,
20200,BAJO BIDASOA,11.73,11.15,13.73,12.95,12.93,11.95,10.28,9.38,12.99,14.85,12.29,15.54,15.56,14.31,11.65,16.17,18.44,17.05,
48200,GRAN BILBAO,9.00,9.14,8.90,9.46,9.63,9.13,8.39,7.24,7.43,7.39,6.97,7.51,10.76,12.36,16.15,19.99,22.25,22.59,
20100,BAJO DEBA,12.23,10.48,8.12,6.71,4.43,3.72,5.37,5.56,6.59,6.92,8.94,12.67,12.63,21.15,31.07,33.66,32.57,30.84,
20300,ALTO DEBA,9.47,10.36,9.90,8.12,6.59,3.35,2.39,2.44,4.45,8.99,11.58,15.16,29.53,42.14,44.56,45.27,48.42,32.78,
20400,DONOSTIALDEA,6.87,7.11,9.40,10.51,11.50,11.32,10.49,8.61,8.40,11.02,12.36,14.33,16.92,19.64,21.22,23.14,24.97,22.33,
48300,DURANGUESADO,12.15,8.71,9.42,10.47,9.28,9.49,9.42,10.26,12.70,14.99,17.29,22.20,25.36,25.85,29.11,36.27,37.45,37.32,
48400,ENCARTACIONES,0.44,0.47,0.41,0.50,1.13,1.28,1.31,2.68,7.74,8.43,11.09,17.06,34.80,40.35,50.13,54.88,53.96,34.27,
1400,RIOJA ALAVESA,3.00,2.49,2.33,1.65,1.47,1.39,1.04,4.06,5.25,7.67,10.69,25.03,29.27,39.34,47.17,60.02,60.61,67.82,
48500,GERNIKA-BERMEO,4.50,3.70,5.82,5.24,5.62,5.09,5.24,4.01,6.55,6.66,7.32,10.23,24.83,40.39,43.88,48.67,53.12,25.97,
20500,GOIERRI,8.76,8.99,8.60,8.19,8.69,7.98,7.11,11.03,9.47,9.82,12.73,16.16,20.67,28.64,37.01,41.51,42.81,32.68,
1500,ESTRIBACIONES DEL GORBEA,11.66,11.86,11.19,7.85,7.40,4.79,4.56,3.97,5.91,13.48,16.12,18.57,34.41,64.86,67.05,81.99,93.89,80.65,
1600,CANTÁBRICA ALAVESA,10.20,8.78,11.21,11.58,11.02,9.00,6.90,4.33,6.04,6.86,7.73,8.91,25.89,31.36,40.14,46.78,54.43,42.21,
48600,MARKINA-ONDARROA,2.65,2.07,2.56,3.40,3.60,3.79,3.02,3.05,2.13,2.09,1.40,6.36,16.19,24.20,28.02,35.85,37.10,24.95,
48700,PLENTZIA-MUNGIA,18.64,22.66,22.80,24.06,23.44,20.61,16.23,14.84,18.03,20.42,19.83,25.65,33.66,39.37,39.90,48.56,55.39,50.09,
20600,TOLOSALDEA,9.18,7.23,4.80,5.88,7.34,7.13,5.83,5.83,9.33,8.13,15.68,27.18,32.52,34.32,41.74,37.91,30.98,31.80,
20700,UROLA KOSTA,19.04,14.41,12.45,10.77,12.65,8.00,6.31,7.93,10.13,12.27,15.68,17.19,20.70,26.95,27.41,27.05,33.10,31.07,
