;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precio medio total de las compraventas de vivienda libre de la C.A. de Euskadi, por trimestre de inscripción en el registro, según Territorio Histórico y tipo de vivienda (€). IV/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C.A. de Euskadi;;;Araba/Álava;;;Bizkaia;;;Gipuzkoa;;;;;;;;;;;;;;;;;;;;;;;
;Total;Viviendas nuevas;Viviendas usadas;Total;Viviendas nuevas;Viviendas usadas;Total;Viviendas nuevas;Viviendas usadas;Total;Viviendas nuevas;Viviendas usadas;;;;;;;;;;;;;;;;;;;;;
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;266692;285388;262782;236454;230058;238988;249356;262106;246462;303779;390071;292504;;;;;;;;;;;;;;;;;;;;;
III;254463;285509;248547;226078;242534;218616;237741;281675;228817;292993;371597;286166;;;;;;;;;;;;;;;;;;;;;
II;242732;271268;238261;209811;234319;200092;228797;283675;220577;277867;284619;277204;;;;;;;;;;;;;;;;;;;;;
I;257750;340939;239411;222395;249302;214980;248655;370352;227077;286558;348786;269892;;;;;;;;;;;;;;;;;;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;243506;302742;235337;220840;251698;213239;233083;333269;220824;273456;290498;271411;;;;;;;;;;;;;;;;;;;;;
III;251210;279306;247514;219109;245445;216222;233297;274326;228187;287505;295615;286287;;;;;;;;;;;;;;;;;;;;;
II;246322;294943;239608;219243;272021;212747;236215;322198;224707;272957;262069;274600;;;;;;;;;;;;;;;;;;;;;
I;247822;311484;233329;225235;232833;223685;235948;330034;213981;273333;305046;266153;;;;;;;;;;;;;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;246489;293807;238771;211927;225117;208911;239868;324943;225434;275551;281889;274779;;;;;;;;;;;;;;;;;;;;;
III;245595;298729;238442;225604;270813;215910;233784;302839;226310;273542;310464;268145;;;;;;;;;;;;;;;;;;;;;
II;237194;273465;232451;185503;194410;183555;231949;306876;224027;268229;278067;266853;;;;;;;;;;;;;;;;;;;;;
I;245051;287380;237306;205523;196823;206476;240037;300181;226435;269919;284786;267754;;;;;;;;;;;;;;;;;;;;;
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;249261;286022;243668;195348;225965;193262;247064;293517;239488;273253;284986;271254;;;;;;;;;;;;;;;;;;;;;
III;252765;300687;246021;203247;186686;204747;250740;318501;238918;274453;295645;272101;;;;;;;;;;;;;;;;;;;;;
II;242342;298375;232303;206762;208913;206397;232977;319936;217581;269740;296225;264815;;;;;;;;;;;;;;;;;;;;;
I;242955;288704;232105;206038;217140;204419;236001;297907;220427;268041;291984;261970;;;;;;;;;;;;;;;;;;;;;
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;245905;319826;231898;213857;222491;213258;237148;310740;221049;272065;349123;256135;;;;;;;;;;;;;;;;;;;;;
III;242943;310271;228329;197352;171638;199214;238627;313648;220547;267607;323197;254157;;;;;;;;;;;;;;;;;;;;;
II;237760;264190;233462;201325;240649;192600;235195;282979;227553;258755;244890;260721;;;;;;;;;;;;;;;;;;;;;
I;238496;284950;229569;180164;219838;173647;237179;290165;227510;264738;299234;257161;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;230867;262584;224226;186877;221208;179684;228228;279473;219813;249532;260383;246592;;;;;;;;;;;;;;;;;;;;;
III;226793;250947;223202;187046;173621;188145;219892;273950;212604;248401;242522;249523;;;;;;;;;;;;;;;;;;;;;
II;213647;228104;211373;179625;154624;181760;211899;249628;206994;230057;221296;232112;;;;;;;;;;;;;;;;;;;;;
I;218010;249885;212073;178020;216888;172662;211439;267116;204122;243456;244674;243095;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;214412;230631;211028;164005;144358;166034;215598;242032;209656;229270;227909;229574;;;;;;;;;;;;;;;;;;;;;
III;216578;224844;215206;170347;153798;171810;211806;250074;206286;238406;209419;245037;;;;;;;;;;;;;;;;;;;;;
II;210626;220848;208663;166399;204519;162358;206967;232700;202856;235900;212687;242690;;;;;;;;;;;;;;;;;;;;;
I;209490;235701;203977;160161;149573;161293;203066;237987;196443;239343;247320;236992;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;211322;233239;206836;165820;234902;151017;201689;238577;196106;245825;227873;251096;;;;;;;;;;;;;;;;;;;;;
III;214579;232229;210602;176117;214777;169659;210129;264712;201088;236200;209261;245815;;;;;;;;;;;;;;;;;;;;;
II;208528;216191;206929;162528;193301;158682;199767;217067;197294;234059;218791;239210;;;;;;;;;;;;;;;;;;;;;
I;197746;206226;196074;166088;186373;160090;199297;225551;194796;207458;186185;211933;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;206063;221110;202841;156895;165137;154603;207174;255451;197185;223335;189016;230304;;;;;;;;;;;;;;;;;;;;;
III;209121;198025;211060;151354;136095;153875;208381;207496;208504;226010;201313;231859;;;;;;;;;;;;;;;;;;;;;
II;210636;208639;211074;153666;162704;152023;215090;213949;215324;223477;213525;226056;;;;;;;;;;;;;;;;;;;;;
I;206841;218906;203923;166146;166865;166025;201452;215680;198700;226773;230769;225404;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;205647;230456;201652;164483;133142;169413;205207;236888;200351;215122;242293;210443;;;;;;;;;;;;;;;;;;;;;
III;197786;208917;195388;179471;188706;176621;204211;224735;199838;194956;193932;195149;;;;;;;;;;;;;;;;;;;;;
II;199139;210055;196452;171026;190949;166472;195319;217682;189304;216498;201363;219737;;;;;;;;;;;;;;;;;;;;;
I;198042;210389;194775;156072;216082;137548;195827;220515;188842;215638;189088;221582;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;203078;209117;201228;160666;175955;153589;192011;209205;186416;239204;231870;240845;;;;;;;;;;;;;;;;;;;;;
III;203794;220318;197936;160352;173205;151646;204181;240648;191998;225944;227090;225646;;;;;;;;;;;;;;;;;;;;;
II;196511;201726;194437;161915;177988;153577;196966;215102;190157;208877;192669;215199;;;;;;;;;;;;;;;;;;;;;
I;215582;228824;209923;193706;217422;182126;212856;241993;199969;227691;213567;233140;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;210036;215290;207785;164712;177173;159388;207368;231713;196227;229986;190111;244841;;;;;;;;;;;;;;;;;;;;;
III;217900;216182;218712;181852;186752;180502;212836;225742;205918;237063;207849;250601;;;;;;;;;;;;;;;;;;;;;
II;219969;252586;205642;209709;259310;179618;220227;274534;200382;224239;223211;224737;;;;;;;;;;;;;;;;;;;;;
I;231529;253788;218451;199585;206503;194322;237101;277095;212632;239622;242859;238091;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IV;222943;241777;210582;190028;196678;177155;227580;272224;201192;237308;252025;232039;;;;;;;;;;;;;;;;;;;;;
III;230591;246530;220026;196690;210330;170995;236909;281329;213681;240455;234267;243584;;;;;;;;;;;;;;;;;;;;;
II;236399;262575;223482;179903;176847;181872;253922;321502;224702;238932;233662;241675;;;;;;;;;;;;;;;;;;;;;
I;249590;249590;249590;221139;254438;205053;273562;328630;236874;246136;259813;237930;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
="- Celda oculta para preservar el secreto estadístico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tabla elaborada con datos del Colegio de Registradores y Registros de la Propiedad del País Vasco.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: Departamento de Vivienda y Agenda Urbana. Estadística de compraventa de inmuebles ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
