Trimestre,Euskadi_Total,Euskadi_Nueva,Euskadi_Usada,Álava_Total,Álava_Nueva,Álava_Usada,Bizkaia_Total,Bizkaia_Nueva,Bizkaia_Usada,Gipuzkoa_Total,Gipuzkoa_Nueva,Gipuzkoa_Usada
2024,,,,,,,,,,,,
IV,266692.0,285388.0,262782.0,236454.0,230058.0,238988.0,249356.0,262106.0,246462.0,303779.0,390071.0,292504.0
III,254463.0,285509.0,248547.0,226078.0,242534.0,218616.0,237741.0,281675.0,228817.0,292993.0,371597.0,286166.0
II,242732.0,271268.0,238261.0,209811.0,234319.0,200092.0,228797.0,283675.0,220577.0,277867.0,284619.0,277204.0
I,257750.0,340939.0,239411.0,222395.0,249302.0,214980.0,248655.0,370352.0,227077.0,286558.0,348786.0,269892.0
2023,,,,,,,,,,,,
IV,243506.0,302742.0,235337.0,220840.0,251698.0,213239.0,233083.0,333269.0,220824.0,273456.0,290498.0,271411.0
III,251210.0,279306.0,247514.0,219109.0,245445.0,216222.0,233297.0,274326.0,228187.0,287505.0,295615.0,286287.0
II,246322.0,294943.0,239608.0,219243.0,272021.0,212747.0,236215.0,322198.0,224707.0,272957.0,262069.0,274600.0
I,247822.0,311484.0,233329.0,225235.0,232833.0,223685.0,235948.0,330034.0,213981.0,273333.0,305046.0,266153.0
2022,,,,,,,,,,,,
IV,246489.0,293807.0,238771.0,211927.0,225117.0,208911.0,239868.0,324943.0,225434.0,275551.0,281889.0,274779.0
III,245595.0,298729.0,238442.0,225604.0,270813.0,215910.0,233784.0,302839.0,226310.0,273542.0,310464.0,268145.0
II,237194.0,273465.0,232451.0,185503.0,194410.0,183555.0,231949.0,306876.0,224027.0,268229.0,278067.0,266853.0
I,245051.0,287380.0,237306.0,205523.0,196823.0,206476.0,240037.0,300181.0,226435.0,269919.0,284786.0,267754.0
2021,,,,,,,,,,,,
IV,249261.0,286022.0,243668.0,195348.0,225965.0,193262.0,247064.0,293517.0,239488.0,273253.0,284986.0,271254.0
III,252765.0,300687.0,246021.0,203247.0,186686.0,204747.0,250740.0,318501.0,238918.0,274453.0,295645.0,272101.0
II,242342.0,298375.0,232303.0,206762.0,208913.0,206397.0,232977.0,319936.0,217581.0,269740.0,296225.0,264815.0
I,242955.0,288704.0,232105.0,206038.0,217140.0,204419.0,236001.0,297907.0,220427.0,268041.0,291984.0,261970.0
2020,,,,,,,,,,,,
IV,245905.0,319826.0,231898.0,213857.0,222491.0,213258.0,237148.0,310740.0,221049.0,272065.0,349123.0,256135.0
III,242943.0,310271.0,228329.0,197352.0,171638.0,199214.0,238627.0,313648.0,220547.0,267607.0,323197.0,254157.0
II,237760.0,264190.0,233462.0,201325.0,240649.0,192600.0,235195.0,282979.0,227553.0,258755.0,244890.0,260721.0
I,238496.0,284950.0,229569.0,180164.0,219838.0,173647.0,237179.0,290165.0,227510.0,264738.0,299234.0,257161.0
2019,,,,,,,,,,,,
IV,230867.0,262584.0,224226.0,186877.0,221208.0,179684.0,228228.0,279473.0,219813.0,249532.0,260383.0,246592.0
III,226793.0,250947.0,223202.0,187046.0,173621.0,188145.0,219892.0,273950.0,212604.0,248401.0,242522.0,249523.0
II,213647.0,228104.0,211373.0,179625.0,154624.0,181760.0,211899.0,249628.0,206994.0,230057.0,221296.0,232112.0
I,218010.0,249885.0,212073.0,178020.0,216888.0,172662.0,211439.0,267116.0,204122.0,243456.0,244674.0,243095.0
2018,,,,,,,,,,,,
IV,214412.0,230631.0,211028.0,164005.0,144358.0,166034.0,215598.0,242032.0,209656.0,229270.0,227909.0,229574.0
III,216578.0,224844.0,215206.0,170347.0,153798.0,171810.0,211806.0,250074.0,206286.0,238406.0,209419.0,245037.0
II,210626.0,220848.0,208663.0,166399.0,204519.0,162358.0,206967.0,232700.0,202856.0,235900.0,212687.0,242690.0
I,209490.0,235701.0,203977.0,160161.0,149573.0,161293.0,203066.0,237987.0,196443.0,239343.0,247320.0,236992.0
2017,,,,,,,,,,,,
IV,211322.0,233239.0,206836.0,165820.0,234902.0,151017.0,201689.0,238577.0,196106.0,245825.0,227873.0,251096.0
III,214579.0,232229.0,210602.0,176117.0,214777.0,169659.0,210129.0,264712.0,201088.0,236200.0,209261.0,245815.0
II,208528.0,216191.0,206929.0,162528.0,193301.0,158682.0,199767.0,217067.0,197294.0,234059.0,218791.0,239210.0
I,197746.0,206226.0,196074.0,166088.0,186373.0,160090.0,199297.0,225551.0,194796.0,207458.0,186185.0,211933.0
2016,,,,,,,,,,,,
IV,206063.0,221110.0,202841.0,156895.0,165137.0,154603.0,207174.0,255451.0,197185.0,223335.0,189016.0,230304.0
III,209121.0,198025.0,211060.0,151354.0,136095.0,153875.0,208381.0,207496.0,208504.0,226010.0,201313.0,231859.0
II,210636.0,208639.0,211074.0,153666.0,162704.0,152023.0,215090.0,213949.0,215324.0,223477.0,213525.0,226056.0
I,206841.0,218906.0,203923.0,166146.0,166865.0,166025.0,201452.0,215680.0,198700.0,226773.0,230769.0,225404.0
2015,,,,,,,,,,,,
IV,205647.0,230456.0,201652.0,164483.0,133142.0,169413.0,205207.0,236888.0,200351.0,215122.0,242293.0,210443.0
III,197786.0,208917.0,195388.0,179471.0,188706.0,176621.0,204211.0,224735.0,199838.0,194956.0,193932.0,195149.0
II,199139.0,210055.0,196452.0,171026.0,190949.0,166472.0,195319.0,217682.0,189304.0,216498.0,201363.0,219737.0
I,198042.0,210389.0,194775.0,156072.0,216082.0,137548.0,195827.0,220515.0,188842.0,215638.0,189088.0,221582.0
2014,,,,,,,,,,,,
IV,203078.0,209117.0,201228.0,160666.0,175955.0,153589.0,192011.0,209205.0,186416.0,239204.0,231870.0,240845.0
III,203794.0,220318.0,197936.0,160352.0,173205.0,151646.0,204181.0,240648.0,191998.0,225944.0,227090.0,225646.0
II,196511.0,201726.0,194437.0,161915.0,177988.0,153577.0,196966.0,215102.0,190157.0,208877.0,192669.0,215199.0
I,215582.0,228824.0,209923.0,193706.0,217422.0,182126.0,212856.0,241993.0,199969.0,227691.0,213567.0,233140.0
2013,,,,,,,,,,,,
IV,210036.0,215290.0,207785.0,164712.0,177173.0,159388.0,207368.0,231713.0,196227.0,229986.0,190111.0,244841.0
III,217900.0,216182.0,218712.0,181852.0,186752.0,180502.0,212836.0,225742.0,205918.0,237063.0,207849.0,250601.0
II,219969.0,252586.0,205642.0,209709.0,259310.0,179618.0,220227.0,274534.0,200382.0,224239.0,223211.0,224737.0
I,231529.0,253788.0,218451.0,199585.0,206503.0,194322.0,237101.0,277095.0,212632.0,239622.0,242859.0,238091.0
2012,,,,,,,,,,,,
IV,222943.0,241777.0,210582.0,190028.0,196678.0,177155.0,227580.0,272224.0,201192.0,237308.0,252025.0,232039.0
III,230591.0,246530.0,220026.0,196690.0,210330.0,170995.0,236909.0,281329.0,213681.0,240455.0,234267.0,243584.0
II,236399.0,262575.0,223482.0,179903.0,176847.0,181872.0,253922.0,321502.0,224702.0,238932.0,233662.0,241675.0
I,249590.0,249590.0,249590.0,221139.0,254438.0,205053.0,273562.0,328630.0,236874.0,246136.0,259813.0,237930.0
